No,Gender,Education,Working Status,Marriage Style,Status of Having a Child,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21
140,1,4,2,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
49,1,4,2,2,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0
93,1,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
130,1,4,2,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1
141,1,4,2,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
132,1,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,3,2,2,1,0,0,0,1,1,0,0,1,0,0,2,2,1,0,1,1,1,0,0,1,0
189,1,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
84,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
120,1,4,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3
63,1,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1,4,2,2,2,3,1,2,1,2,1,1,3,1,0,2,1,2,1,1,1,1,0,0,1,1
11,1,4,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,1,4,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,1,3,2,2,2,0,0,2,1,1,0,1,1,1,0,1,1,2,2,1,1,1,0,0,0,2
104,1,4,2,2,2,2,2,2,1,0,0,0,1,1,3,2,2,2,1,1,1,2,0,0,2,2
284,1,4,2,2,1,0,0,1,1,1,0,0,1,0,3,2,2,0,0,0,2,1,0,2,0,0
